seed,x_axle,Greedy Time,final_calculation_time,Total Running time,Route Cost,,,
11,60,38.327317,0.006643295,38.33396029,11488.60277,,38.55808506,11037.09045
12,60,38.22038603,0.006592035,38.22697806,11609.18757,,,
13,60,38.79830289,0.006625175,38.80492806,11589.31785,,,
14,60,39.73453379,0.006676912,39.7412107,10027.45733,,,
15,60,38.61220121,0.006740093,38.61894131,11076.27861,,,
16,60,38.38356686,0.006596088,38.39016294,11459.96344,,,
17,60,38.38295507,0.006634951,38.38959002,10475.23681,,,
18,60,38.34769893,0.006607294,38.35430622,10932.3549,,,
19,60,38.36525607,0.006600857,38.37185693,10936.37752,,,
20,60,38.34235597,0.006560087,38.34891605,10776.12766,,,
