seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,
11,60,0.968654156,0.262116909,1.020359278,20.68394852,22.93507886,11064.24736,,17.45098338,11107.82677
12,60,0.947005033,0.210606098,0.899295092,12.62297964,14.67988586,11475.19197,,,
13,60,1.012248993,0.188042879,0.970427036,14.08150434,16.25222325,11635.86052,,,
14,60,0.956946135,0.226890087,0.948065996,8.409631729,10.54153395,10958.74844,,,
15,60,0.958343983,0.203411818,0.837417841,17.65224624,19.65141988,10952.44481,,,
16,60,0.944242239,0.189857721,0.803134441,14.40325141,16.34048581,11375.69388,,,
17,60,0.949681759,0.197553873,0.93294692,16.63478637,18.71496892,10987.68862,,,
18,60,0.958842039,0.223972797,0.912465096,14.52161717,16.61689711,11170.94016,,,
19,60,0.934438229,0.164929867,0.906883955,15.26412106,17.27037311,10664.09127,,,
20,60,0.953848839,0.226922035,1.014673233,19.31152296,21.50696707,10793.36062,,,
