seed,x_axle,Greedy Time,final_calculation_time,Total Running time,Route Cost,,,,,,
18,30,39.99282193,0.006821156,39.99964309,9586.997216,,,,,,
18,45,40.05202007,0.006818056,40.05883813,9507.970902,,,,,,
18,60,40.04243016,0.006942034,40.0493722,9465.510035,,,,,,
18,90,39.6319139,0.006824255,39.63873816,9388.063627,,,,,,
18,120,39.72393823,0.006777048,39.73071527,9337.288563,,,,,,
19,3,41.04849982,0.006924152,41.05542397,9630.02375,,,,,,
19,9,40.54784393,0.006962776,40.55480671,9643.84232,,,,,,
19,15,40.34200311,0.006908178,40.34891129,9632.824548,,,,,,
19,21,40.20714808,0.006910086,40.21405816,9661.425099,,,,,,
19,27,40.08014894,0.006882906,40.08703184,9664.313007,,,,,,
19,30,40.04991364,0.00687623,40.05678988,9669.623205,,,,,,
19,45,39.91838288,0.006822109,39.92520499,9647.101549,,,,,,
19,60,40.05743289,0.006793976,40.06422687,9643.721829,,,,,,
19,90,39.9191761,0.006795883,39.92597198,9620.744904,,,,,,
19,120,40.02497625,0.006878853,40.03185511,9572.425193,,,,,,
20,3,41.29233813,0.007067919,41.29940605,9704.940175,,,,,,
20,9,40.36728406,0.007070065,40.37435412,9704.436519,,,,,,
20,15,40.17753291,0.006936073,40.18446898,9708.407545,,,,,,
20,21,40.10649586,0.006991148,40.11348701,9706.598336,,,,,,
20,27,39.89461803,0.006866932,39.90148497,9700.579723,,,,,,
20,30,40.16041613,0.006847858,40.16726398,9699.746863,,,,,,
20,45,40.23538995,0.00693202,40.24232197,9671.59899,,,,,,
20,60,40.06151795,0.006931067,40.06844902,9633.391965,,,,,,
20,90,39.83258295,0.00680685,39.8393898,9569.65836,,,,,,
20,120,39.72827911,0.006596088,39.7348752,9526.585143,,,,,,
21,3,42.20714688,0.006847143,42.21399403,10100.50656,,,,,,
21,9,38.24356318,0.006377935,38.24994111,10143.00371,,,,,,
21,15,37.88593769,0.006469965,37.89240766,10175.88133,,,,,,
21,21,37.80975223,0.006546736,37.81629896,10168.49643,,,,,,
21,27,37.75883317,0.006400824,37.76523399,10164.3289,,,,,,
21,30,37.35874104,0.006467819,37.36520886,10140.40246,,,,,,
21,45,37.27019286,0.006532907,37.27672577,10119.18348,,,,,,
21,60,37.01292586,0.006366014,37.01929188,10098.33929,,,,,,
21,90,36.92198396,0.006282091,36.92826605,10030.42208,,,,,,
21,120,36.68495107,0.006237984,36.69118905,9980.605604,,,,,,
22,3,38.74402976,0.006391048,38.75042081,10461.20751,,,,,,
22,9,37.95079684,0.006689072,37.95748591,10473.00793,,,,,,
22,15,38.07161498,0.006585836,38.07820082,10487.49463,,,,,,
22,21,37.72433996,0.006646156,37.73098612,10493.36798,,,,,,
22,27,37.78833008,0.006654978,37.79498506,10454.10424,,,,,,
22,30,38.1379168,0.006668091,38.14458489,10495.95356,,,,,,
22,45,37.81451893,0.006484032,37.82100296,10466.64646,,,,,,
22,60,37.71449876,0.006707191,37.72120595,10452.747,,,,,,
22,90,37.239434,0.006458759,37.24589276,10424.64473,,,,,,
22,120,37.08471322,0.006417751,37.09113097,10370.14149,,,,,,
23,3,38.8225069,0.006566048,38.82907295,9715.795586,,,,,,
23,9,38.3111949,0.006561995,38.31775689,9714.947415,,,,,,
23,15,38.54411602,0.006509066,38.55062509,9723.485396,,,,,,
23,21,38.0979619,0.006563902,38.1045258,9735.064012,,,,,,
23,27,37.92472386,0.006578207,37.93130207,9741.609973,,,,,,
23,30,37.94320416,0.006529808,37.94973397,9709.102476,,,,,,
23,45,37.81138587,0.007663965,37.81904984,9706.257297,,,,,,
23,60,37.50040913,0.006520033,37.50692916,9635.301876,,,,,,
23,90,37.32683969,0.006493092,37.33333278,9593.095833,,,,,,
23,120,37.13030577,0.006447077,37.13675284,9553.654455,,,,,,
24,3,39.13967299,0.006680012,39.14635301,8253.132998,,,,,,
24,9,38.47486901,0.00660491,38.48147392,8262.805552,,,,,,
24,15,38.14913011,0.006572008,38.15570211,8271.989206,,,,,,
24,21,38.2643292,0.006644011,38.27097321,8265.202224,,,,,,
24,27,38.15587187,0.006593943,38.16246581,8260.246592,,,,,,
24,30,38.00172997,0.006611109,38.00834107,8252.357852,,,,,,
24,45,37.83079505,0.006541014,37.83733606,8238.823582,,,,,,
24,60,37.55058885,0.00656414,37.55715299,8185.22339,,,,,,
24,90,37.275419,0.006496906,37.2819159,8161.659795,,,,,,
24,120,37.21304798,0.006403208,37.21945119,8097.081164,,,,,,
25,3,39.01844692,0.006688833,39.02513576,9706.438211,,,,,,
25,9,38.43248582,0.006536245,38.43902206,9711.052045,,,,,,
25,15,38.23639917,0.006561995,38.24296117,9708.271081,,,,,,
25,21,38.03808618,0.006571054,38.04465723,9697.635806,,,,,,
25,27,38.01810193,0.00655508,38.02465701,9697.520702,,,,,,
25,30,38.05490589,0.006544113,38.06145,9695.611387,,,,,,
25,45,37.78061223,0.006533861,37.78714609,9689.012959,,,,,,
25,60,37.55852222,0.006518126,37.56504035,9657.183407,,,,,,
25,90,37.45195818,0.006474972,37.45843315,9634.16407,,,,,,
25,120,37.30658889,0.006455183,37.31304407,9607.136671,,,,,,
26,3,39.07467604,0.006757736,39.08143377,8446.193006,,,,,,
26,9,38.41168475,0.006602049,38.4182868,8458.912196,,,,,,
26,15,38.25680804,0.006743908,38.26355195,8463.893284,,,,,,
26,21,38.12475395,0.006590843,38.1313448,8473.209929,,,,,,
26,27,38.32831788,0.006665945,38.33498383,8452.735757,,,,,,
26,30,37.95536399,0.006574869,37.96193886,8465.608172,,,,,,
26,45,38.10413098,0.006648064,38.11077905,8449.560385,,,,,,
26,60,37.80125403,0.006509066,37.8077631,8433.517683,,,,,,
26,90,37.37309098,0.006478071,37.37956905,8395.296129,,,,,,
26,120,37.31540513,0.006456614,37.32186174,8355.207575,,,,,,
27,3,38.99496818,0.006590843,39.00155902,11923.99764,,,,,,
27,9,38.36509585,0.006573915,38.37166977,11920.9008,,,,,,
27,15,38.19600797,0.006567955,38.20257592,11931.87549,,,,,,
27,21,37.98210096,0.006561995,37.98866296,11921.9195,,,,,,
27,27,38.04140806,0.006612778,38.04802084,11915.87604,,,,,,
27,30,37.88747907,0.006584167,37.89406323,11956.50516,,,,,,
