seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,
11,60,0.929108858,0.240820885,1.005824089,18.78989506,20.96564889,11204.17102,,16.47657928,11124.58265
12,60,0.985258818,0.223202944,1.051358938,11.64710927,13.90692997,11566.28684,,,
13,60,0.985208035,0.178515911,0.996848822,6.487820148,8.648392916,11750.00087,,,
14,60,0.935454845,0.232515812,0.959492207,16.4058454,18.53330827,10995.50911,,,
15,60,0.951400995,0.24186492,1.07525301,15.91032386,18.17884278,10729.99883,,,
16,60,0.950139999,0.216478109,0.996597052,11.84566593,14.00888109,11271.26083,,,
17,60,0.936681986,0.229107857,0.978069067,16.13867807,18.28253698,11193.66566,,,
18,60,0.992359877,0.175597191,1.028240919,11.43740201,13.6336,10982.47864,,,
19,60,0.945640087,0.202497959,1.074354887,16.29665995,18.51915288,10632.89259,,,
20,60,0.958910942,0.269144058,0.950402021,17.91004205,20.08849907,10919.56211,,,
