seed,x_axle,Greedy Time,final_calculation_time,Total Running time,Route Cost,,,
11,60,42.67509389,0.008343935,42.68343782,11816.49429,,41.69922006,11518.89388
12,60,42.99561596,0.007050037,43.002666,12334.3328,,,
13,60,43.20886302,0.007002115,43.21586514,12031.85456,,,
14,60,41.26187587,0.006994009,41.26886988,11415.16237,,,
15,60,41.28783107,0.007009029,41.2948401,11436.33399,,,
16,60,41.25033498,0.00869298,41.25902796,12075.27753,,,
17,60,41.51271343,0.007176876,41.51989031,10608.12763,,,
18,60,40.56766224,0.006855965,40.5745182,11866.11062,,,
19,60,40.82505608,0.007178068,40.83223414,10751.11648,,,
20,60,41.33316898,0.007682085,41.34085107,10854.12853,,,
