seed,x_axle,Greedy Time,final_calculation_time,Total Running time,Route Cost,,,
11,60,41.52715969,0.006989002,41.53414869,11775.19594,,41.25213337,11569.11732
12,60,41.49504614,0.007086754,41.50213289,12238.68969,,,
13,60,40.91411686,0.00702095,40.92113781,11981.4092,,,
14,60,42.10447478,0.007142305,42.11161709,11585.77225,,,
15,60,41.62443399,0.007087231,41.63152122,11555.65886,,,
16,60,40.64252591,0.007065773,40.64959168,12041.15696,,,
17,60,41.61098599,0.007084131,41.61807013,10856.45528,,,
18,60,40.6926291,0.007060051,40.69968915,11864.14794,,,
19,60,40.8852129,0.007035017,40.89224792,10823.89431,,,
20,60,40.9541769,0.007000208,40.96117711,10968.79275,,,
