seed,x_axle,Greedy Time,final_calculation_time,Total Running time,Route Cost,,,,,,
11,1000,0.435418844,0.000674963,0.436093807,1289.328281,,,0.440152478,0.000691175,0.440843654,1033.474087
11,5000,9.835581779,0.003329992,9.838911772,6239.678917,,,10.0289717,0.003396749,10.03236845,5106.825094
11,10000,39.61330891,0.006766081,39.62007499,12382.03175,,,40.27520163,0.006948805,40.28215044,10142.41941
11,15000,89.87754393,0.010230064,89.88777399,18652.80245,,,91.0150208,0.010673738,91.02569454,15199.54542
11,20000,163.115185,0.013849974,163.129035,24832.40148,,,164.0905518,0.01432333,164.1048751,20241.95794
12,1000,0.419800997,0.00067997,0.420480967,1221.3748,,,,,,
12,5000,10.01172686,0.003406048,10.0151329,5989.950861,,,,,,
12,10000,40.21809912,0.006905794,40.22500491,11820.64151,,,,,,
12,15000,91.10620689,0.01297307,91.11917996,17829.52732,,,,,,
12,20000,162.688123,0.013798952,162.7019219,23651.70463,,,,,,
13,1000,0.583590269,0.000718832,0.584309101,1280.083701,,,,,,
13,5000,10.05622888,0.003436089,10.05966496,6312.563005,,,,,,
13,10000,40.08213282,0.007034063,40.08916688,12507.20829,,,,,,
13,15000,91.6197412,0.010392904,91.63013411,18739.19308,,,,,,
13,20000,163.243901,0.013999939,163.257901,25088.2533,,,,,,
14,1000,0.421040058,0.000699043,0.421739101,613.3848189,,,,,,
14,5000,10.03281403,0.003407001,10.03622103,3101.189805,,,,,,
14,10000,40.26281786,0.00704217,40.26986003,6163.39709,,,,,,
14,15000,90.7561307,0.010406256,90.76653695,9312.823078,,,,,,
14,20000,162.7842541,0.013876915,162.798131,12303.37458,,,,,,
15,1000,0.422243118,0.000689983,0.422933102,1026.442991,,,,,,
15,5000,9.98223114,0.003386021,9.985617161,5039.760517,,,,,,
15,10000,40.04740715,0.006911993,40.05431914,9965.77418,,,,,,
15,15000,90.0536809,0.010237932,90.06391883,14927.02143,,,,,,
15,20000,161.907789,0.013882875,161.9216719,20004.82159,,,,,,
16,1000,0.417704821,0.000688076,0.418392897,1228.38354,,,,,,
16,5000,9.998241901,0.003385782,10.00162768,5916.246986,,,,,,
16,10000,39.94471502,0.006927729,39.95164275,11835.88328,,,,,,
16,15000,90.18262005,0.010261774,90.19288182,17635.97413,,,,,,
16,20000,161.7304063,0.013914824,161.7443211,23527.34163,,,,,,
17,1000,0.418116808,0.000694036,0.418810844,850.5360798,,,,,,
17,5000,9.964566231,0.003388882,9.967955112,4154.33083,,,,,,
17,10000,40.05307984,0.006911039,40.05999088,8170.791133,,,,,,
17,15000,90.43038082,0.010267019,90.44064784,12221.97877,,,,,,
17,20000,162.3897662,0.013993025,162.4037592,16264.54126,,,,,,
18,1000,0.417357922,0.000686884,0.418044806,932.9441696,,,,,,
18,5000,9.997306108,0.00338769,10.0006938,4714.955853,,,,,,
18,10000,39.94780087,0.006901026,39.9547019,9388.063627,,,,,,
18,15000,91.58259106,0.010885,91.59347606,14100.07069,,,,,,
18,20000,170.4442759,0.017771959,170.4620478,18773.67111,,,,,,
19,1000,0.440449953,0.00068903,0.441138983,947.3265452,,,,,,
19,5000,10.20811892,0.003442287,10.2115612,4826.718793,,,,,,
19,10000,40.91289091,0.007034063,40.91992497,9620.744904,,,,,,
19,15000,92.01907778,0.01059413,92.02967191,14307.97724,,,,,,
19,20000,165.5112629,0.014032841,165.5252957,19011.7645,,,,,,
20,1000,0.425801992,0.000690937,0.426492929,944.9359417,,,,,,
20,5000,10.20290112,0.003397703,10.20629883,4772.855371,,,,,,
20,10000,41.6697638,0.00705409,41.67681789,9569.65836,,,,,,
20,15000,92.52223468,0.010489225,92.5327239,14268.08601,,,,,,
20,20000,167.0905542,0.014111996,167.1046662,18961.7053,,,,,,
