seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,
11,60,0.957741022,0.171305895,0.907142878,1.889446259,3.925636053,14536.26631,,4.106908751,14266.10959
12,60,1.010154963,0.188666821,0.892843962,1.91703248,4.008698225,14373.32016,,,
13,60,0.992957115,0.222706079,1.08345294,1.985378981,4.284495115,15433.01237,,,
14,60,0.932291985,0.183628082,0.847429991,1.790943861,3.754293919,12781.02824,,,
15,60,0.975912094,0.254134893,0.964831114,1.926270723,4.121148825,14577.70437,,,
16,60,1.081980228,0.214977026,0.956003904,2.09574604,4.348707199,15130.81025,,,
17,60,1.052776337,0.254781246,0.872019053,2.070583344,4.250159979,14378.74985,,,
18,60,0.976977348,0.224070787,0.929478884,1.917720795,4.048247814,14118.2713,,,
19,60,1.152060032,0.22543478,0.874264002,1.845416307,4.097175121,13326.94017,,,
20,60,1.057339907,0.188467741,0.994464159,1.990253448,4.230525255,14004.99289,,,
