seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,
11,60,0.928002119,0.216835022,0.952512026,7.974144936,10.0714941,11371.02275,,17.04288254,11138.75113
12,60,0.966148853,0.186245203,0.832906008,17.73192716,19.71722722,11285.55688,,,
13,60,0.949151039,0.261459112,0.955967903,18.45703578,20.62361383,11273.46344,,,
14,60,0.973364115,0.156427145,0.751369953,10.50814247,12.38930368,10938.66614,,,
15,60,0.989381313,0.211402893,0.86023283,7.627678871,9.688695908,11181.6995,,,
16,60,0.9630301,0.140834093,0.916452885,14.83196378,16.85228086,11462.52618,,,
17,60,0.958876133,0.200258732,0.885739088,19.99216604,22.03704,10917.63844,,,
18,60,0.946095943,0.243347168,0.902346134,20.73809052,22.82987976,11218.45021,,,
19,60,0.948225021,0.201014757,0.858804941,14.65098143,16.65902615,11049.85799,,,
20,60,0.964263201,0.218178749,0.93674612,17.4410758,19.56026387,10688.62976,,,
