seed,x_axle,Greedy Time,final_calculation_time,Total Running time,Route Cost,,,
11,60,40.73558998,0.007038832,40.74262881,11442.1793,,40.69165821,11338.01035
12,60,40.74356389,0.007004023,40.75056791,11620.76744,,,
13,60,40.78353691,0.006831169,40.79036808,11559.52075,,,
14,60,40.72750902,0.00697875,40.73448777,11304.36237,,,
15,60,40.74652386,0.007066011,40.75358987,11331.3623,,,
16,60,40.65650105,0.00698185,40.6634829,11602.90773,,,
17,60,40.56075191,0.007027864,40.56777978,11014.44163,,,
18,60,40.64808083,0.007040977,40.6551218,11633.37144,,,
19,60,40.56030107,0.007026196,40.56732726,10924.08999,,,
20,60,40.68430686,0.006921053,40.69122791,10947.10051,,,
