seed,x_axle,Greedy Time,final_calculation_time,Total Running time,Route Cost,,,
11,60,43.70253491,0.008915901,43.71145082,11356.73366,,42.3611006,11193.61212
12,60,43.38066292,0.007931948,43.38859487,11364.98516,,,
13,60,41.81299996,0.007092953,41.82009292,11361.52833,,,
14,60,43.58522391,0.007027149,43.59225106,10961.26938,,,
15,60,40.93742609,0.006885052,40.94431114,11150.2603,,,
16,60,43.27731395,0.008973122,43.28628707,11486.47246,,,
17,60,42.11960077,0.007022142,42.12662292,11049.67923,,,
18,60,42.35504889,0.006968021,42.36201692,11352.05616,,,
19,60,40.86498523,0.006992102,40.87197733,11079.13634,,,
20,60,41.50039601,0.007004976,41.50740099,10774.00013,,,
