seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,
11,60,1.036419868,0.152672052,0.852164984,4.850262165,6.89151907,11699.21408,,7.984616804,11432.67713
12,60,0.985313892,0.220319986,1.168009043,6.5841012,8.957744122,11645.91574,,,
13,60,1.022832155,0.160726786,0.954127073,4.43580699,6.573493004,11735.12243,,,
14,60,0.973011017,0.158195972,0.859431982,4.899678946,6.890317917,11227.30204,,,
15,60,0.932502031,0.225665092,0.941913843,8.717531681,10.81761265,11323.73433,,,
16,60,0.918174982,0.213848114,0.838609934,5.633598804,7.604231834,11846.05715,,,
17,60,0.939218998,0.204079151,0.883198977,7.308722973,9.335220098,11195.39137,,,
18,60,0.958564997,0.195684195,0.924409866,4.17969203,6.258351088,11762.74928,,,
19,60,0.972051859,0.188197136,0.844718933,5.257297277,7.262265205,11036.53992,,,
20,60,0.955149174,0.197602987,0.896226645,7.20643425,9.255413055,10854.74499,,,
