seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,
11,60,1.033210993,0.228950024,1.012397051,2.057748079,4.332306147,14490.5254,,4.277840281,14263.47273
12,60,1.117043972,0.204107046,0.891689777,2.043924093,4.256764889,14206.21589,,,
13,60,1.002767086,0.170949936,0.899406195,2.171742678,4.244865894,14731.67562,,,
14,60,1.10303688,0.303403139,0.917376995,2.043335915,4.367152929,13642.84996,,,
15,60,0.987503052,0.217514992,0.9068501,2.076683044,4.188551188,14497.95649,,,
16,60,1.129406929,0.168262959,0.926047087,2.181066275,4.404783249,14721.79056,,,
17,60,0.998656988,0.246752024,0.961205959,2.241094112,4.447709084,14300.90716,,,
18,60,1.031371832,0.208826065,0.873196125,2.191722155,4.305116177,14123.39583,,,
19,60,0.947740078,0.187752008,0.968099117,1.946516037,4.050107241,13749.65222,,,
20,60,1.011828899,0.20366478,0.887221098,2.078331232,4.181046009,14169.75816,,,
