seed,x_axle,Greedy Time,final_calculation_time,Total Running time,Route Cost,,,
11,60,40.89797187,0.006872177,40.90484405,11445.96334,,41.23264859,11221.159
12,60,41.0876286,0.007821083,41.09544969,12171.20287,,,
13,60,41.28543496,0.006991863,41.29242682,12676.62757,,,
14,60,41.02574992,0.007272959,41.03302288,10711.89632,,,
15,60,42.16998315,0.006999731,42.17698288,10473.95427,,,
16,60,42.56493473,0.006821871,42.5717566,11387.35571,,,
17,60,41.0232029,0.007066011,41.03026891,11364.22406,,,
18,60,41.08180213,0.007031918,41.08883405,10992.48455,,,
19,60,40.59188199,0.007064104,40.59894609,10058.24375,,,
20,60,40.52700305,0.006950855,40.53395391,10929.6376,,,
