seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,
11,60,0.918777704,0.223053217,1.019289017,18.01956916,20.1806891,11218.76874,,16.85267575,11199.49565
12,60,0.94024086,0.219751835,0.953439951,17.29081655,19.40424919,11612.77163,,,
13,60,0.956595898,0.19052434,1.059492111,12.26450968,14.47112203,11896.89751,,,
14,60,0.960099936,0.134972334,0.985144854,17.03355765,19.11377478,10907.92151,,,
15,60,0.978148937,0.197438002,0.989105225,11.57459164,13.7392838,11082.39131,,,
16,60,0.944533825,0.200050831,0.975541115,12.90295935,15.02308512,11678.01258,,,
17,60,0.970981121,0.212146997,0.983395815,17.79112387,19.9576478,10937.33239,,,
18,60,1.043381214,0.205005884,1.01162219,16.64062548,18.90063477,11165.16526,,,
19,60,0.983947039,0.1720891,0.917272806,11.52111912,13.59442806,10634.93721,,,
20,60,0.95192194,0.179574966,1.002942324,12.00740361,14.14184284,10860.75833,,,
