seed,x_axle,Greedy Time,final_calculation_time,Total Running time,Route Cost,,,
11,60,39.57469606,0.006842852,39.58153892,11529.05104,,40.26760895,11013.026
12,60,39.69068813,0.00684309,39.69753122,11229.8625,,,
13,60,40.20130372,0.006907225,40.20821095,12473.71217,,,
14,60,39.95535421,0.006870031,39.96222425,9224.90384,,,
15,60,40.03102803,0.00685811,40.03788614,11153.73933,,,
16,60,40.76308298,0.007015228,40.77009821,11949.33162,,,
17,60,40.66935778,0.006807089,40.67616487,11178.27596,,,
18,60,40.51568675,0.006938219,40.52262497,10841.23954,,,
19,60,40.58875799,0.006922007,40.59568,9800.020804,,,
20,60,40.61716676,0.006963253,40.62413001,10750.12315,,,
