seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost
11,1,1.2520458698272705,0.3695950508117676,8.0108642578125e-05,2.2733519077301025,3.8950729370117188,12426.811877966764
11,2,1.1046500205993652,0.3216111660003662,0.03267097473144531,2.5759308338165283,4.034862995147705,12397.484407563565
11,3,1.1336021423339844,0.3739469051361084,0.09350132942199707,2.5390377044677734,4.140088081359863,12414.32637015772
11,4,1.242436170578003,0.3623931407928467,0.17564916610717773,2.1945056915283203,3.9749841690063477,12466.639984627658
11,5,1.1903550624847412,0.3638629913330078,0.2993180751800537,2.3442800045013428,4.1978161334991455,12425.153426082474
12,1,1.1572511196136475,0.37991976737976074,0.00036716461181640625,3.2791860103607178,4.816724061965942,12373.475791633822
12,2,1.1677160263061523,0.4043610095977783,0.032750844955444336,2.8693840503692627,4.474211931228638,12408.87857967716
12,3,1.2085471153259277,0.4623110294342041,0.09648895263671875,2.6511099338531494,4.41845703125,12439.025679360097
12,4,1.1433460712432861,0.3977391719818115,0.18070316314697266,2.513782501220703,4.235570907592773,12464.51994962919
12,5,1.221402883529663,0.40581583976745605,0.2997150421142578,2.4436049461364746,4.370538711547852,12466.935950491388
13,1,1.1017069816589355,0.33597326278686523,0.00032210350036621094,2.5164794921875,3.954481840133667,12494.634431423812
13,2,1.0661969184875488,0.32816314697265625,0.033036231994628906,2.648582696914673,4.075978994369507,12472.436603759084
13,3,1.1417558193206787,0.4048960208892822,0.11602997779846191,2.9708831310272217,4.6335649490356445,12424.058639529772
13,4,1.1066389083862305,0.29268932342529297,0.18067502975463867,2.8592607975006104,4.4392640590667725,12431.57149358749
13,5,1.0729570388793945,0.34472131729125977,0.2865610122680664,2.905008554458618,4.609247922897339,12455.257870882779
14,1,1.0845770835876465,0.35480594635009766,0.0002911090850830078,2.1340041160583496,3.5736782550811768,12344.809084390723
14,2,1.175325870513916,0.39612603187561035,0.03336501121520996,2.733010768890381,4.337827682495117,12311.581833283264
14,3,1.1579058170318604,0.3423759937286377,0.09506082534790039,2.2128005027770996,3.808143138885498,12338.29220569432
14,4,1.2433021068572998,0.4663999080657959,0.17747807502746582,1.9975168704986572,3.8846969604492188,12374.372072652643
14,5,1.099308967590332,0.37611818313598633,0.29044103622436523,1.9476070404052734,3.713475227355957,12356.477844523903
15,1,1.1795310974121094,0.30039381980895996,0.00031495094299316406,2.830878257751465,4.311118125915527,12294.97967855931
15,2,1.0826570987701416,0.29636192321777344,0.031932830810546875,3.1806790828704834,4.591630935668945,12255.520539990768
15,3,1.089514970779419,0.28107500076293945,0.09459996223449707,3.0306060314178467,4.495795965194702,12274.688458577344
15,4,1.0489320755004883,0.312061071395874,0.17656397819519043,3.12320613861084,4.660763263702393,12278.928375044079
15,5,1.0634620189666748,0.31931281089782715,0.2918539047241211,2.7959861755371094,4.470614910125732,12293.903808217638
16,1,1.0624980926513672,0.3364269733428955,0.0002999305725097656,3.4760122299194336,4.875237226486206,12424.024136844402
16,2,1.1051290035247803,0.3616640567779541,0.03289389610290527,3.296647071838379,4.7963340282440186,12396.545165358519
16,3,1.083479881286621,0.3593292236328125,0.09522414207458496,2.6824567317962646,4.220489978790283,12443.343280779121
16,4,1.0576441287994385,0.36461305618286133,0.17788171768188477,3.556123971939087,5.1562628746032715,12426.449464822323
16,5,1.1243748664855957,0.41254711151123047,0.2883639335632324,4.885926246643066,6.711212158203125,12405.324239795986
17,1,1.0537281036376953,0.3661003112792969,0.0003857612609863281,2.984179735183716,4.404393911361694,12361.998274948079
17,2,1.0730791091918945,0.3728659152984619,0.03246307373046875,4.530212879180908,6.008620977401733,12307.297191176493
17,3,1.0734550952911377,0.38951683044433594,0.09437990188598633,2.9228601455688477,4.480211973190308,12379.959938076889
17,4,1.087177038192749,0.3936440944671631,0.17855381965637207,3.2650058269500732,4.924380779266357,12371.627142635656
17,5,1.091568946838379,0.3529520034790039,0.2869422435760498,3.2696127891540527,5.001075983047485,12363.571999768787
18,1,1.0763118267059326,0.34588098526000977,0.00030112266540527344,2.650505781173706,4.072999715805054,12515.774950282557
18,2,1.0909099578857422,0.3214080333709717,0.0327458381652832,2.477745294570923,3.92280912399292,12527.021802635225
18,3,1.118105173110962,0.35713911056518555,0.09681582450866699,2.7039148807525635,4.275974988937378,12523.137629443967
18,4,1.1041128635406494,0.3801579475402832,0.18415307998657227,2.6411733627319336,4.3095972537994385,12518.766405967757
18,5,1.10270094871521,0.3850290775299072,0.28853797912597656,3.5528011322021484,5.329069137573242,12471.207374610773
19,1,1.0825698375701904,0.2913820743560791,0.0003142356872558594,3.2083468437194824,4.582612991333008,12393.077567050621
19,2,1.0485401153564453,0.36382579803466797,0.03255009651184082,2.4646668434143066,3.9095828533172607,12411.501597208096
19,3,1.0664949417114258,0.33632612228393555,0.09544181823730469,3.255775213241577,4.754038095474243,12386.572983145341
19,4,1.056302785873413,0.3402979373931885,0.17887210845947266,2.895324230194092,4.470797061920166,12369.98519183191
19,5,1.0476360321044922,0.40554308891296387,0.2899317741394043,2.5843498706817627,4.327460765838623,12375.058935818792
20,1,1.0794508457183838,0.39098691940307617,0.0003199577331542969,2.519561290740967,3.990319013595581,12487.702737239635
20,2,1.0879931449890137,0.36653804779052734,0.03281688690185547,3.607480764389038,5.094828844070435,12386.815615032183
20,3,1.079101800918579,0.3399009704589844,0.0943601131439209,3.1232380867004395,4.636600971221924,12413.338109227614
20,4,1.0555241107940674,0.3541281223297119,0.17857098579406738,3.212757110595703,4.80098032951355,12448.374514173169
20,5,1.0861749649047852,0.34055304527282715,0.29119205474853516,3.3447439670562744,5.062664031982422,12442.630988894161
