seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost
15,120,1.220895052,0.518058062,14.0280602,1.162773848,16.92978716,15379.28707,,,,,,,,
16,3,0.749951839,0.010906696,0.000365019,1.088208437,1.849431992,15246.39407,,,,,,,,
16,9,0.772552252,0.017835855,0.000722885,1.096529007,1.887639999,15244.02317,,,,,,,,
16,15,0.772097826,0.051122189,0.004200935,1.096781969,1.924202919,15307.07818,,,,,,,,
16,21,0.811307192,0.080866098,0.017175913,1.103139162,2.012488365,15373.98183,,,,,,,,
16,27,0.804670811,0.117451906,0.044620752,1.107752562,2.074496031,15373.17093,,,,,,,,
16,30,0.820482731,0.105032206,0.065991163,1.106625795,2.098131895,15371.27286,,,,,,,,
16,45,0.951164246,0.164418697,0.324183226,1.112628937,2.552395105,15383.13356,,,,,,,,
16,60,0.95217371,0.221872091,0.951347113,1.142663002,3.268055916,15433.07162,,,,,,,,
16,90,2.295819044,0.388103008,5.115614891,1.153259993,8.952796936,15546.422,,,,,,,,
16,120,1.238691092,0.51754427,15.22955084,1.195955753,18.18174195,15593.82064,,,,,,,,
17,3,0.766088963,0.011740208,0.000354052,1.112112522,1.890295744,15135.40592,,,,,,,,
17,9,0.806547165,0.044348001,0.000963211,1.088361502,1.940219879,15262.72293,,,,,,,,
17,15,0.77687192,0.060930967,0.00555706,1.100515127,1.943875074,15177.51646,,,,,,,,
17,21,0.819533825,0.06181407,0.016941071,1.09254694,1.990835905,15256.44084,,,,,,,,
17,27,0.818847895,0.073009968,0.044569969,1.09750104,2.033928871,15276.30001,,,,,,,,
17,30,0.842532873,0.116981983,0.069586992,1.102078199,2.131180048,15302.23183,,,,,,,,
17,45,0.86609292,0.136880159,0.302199841,1.106466293,2.411639214,15301.32818,,,,,,,,
17,60,0.916153908,0.229382038,0.91345787,1.141973019,3.200966835,15335.37719,,,,,,,,
17,90,1.042924166,0.392019033,4.905690193,1.146283388,7.48691678,15449.38168,,,,,,,,
17,120,1.249957085,0.548049927,14.54315591,1.185129166,17.52629209,15466.85137,,,,,,,,
18,3,0.77101016,0.011806965,0.000387669,1.102296352,1.885501146,15325.17166,,,,,,,,
18,9,0.770791769,0.012105942,0.000732183,1.095141172,1.878771067,15325.21835,,,,,,,,
18,15,0.774358034,0.048079252,0.004405022,1.103411674,1.930253983,15437.40415,,,,,,,,
18,21,0.809006691,0.063202143,0.015083075,1.123363018,2.010654926,15469.12753,,,,,,,,
18,27,0.832117081,0.082274914,0.041051149,1.121398211,2.076841354,15450.42257,,,,,,,,
18,30,0.838877916,0.083987236,0.067270994,1.107610703,2.097746849,15475.02251,,,,,,,,
18,45,0.873483896,0.113986254,0.31667304,1.154255867,2.458399057,15450.00934,,,,,,,,
18,60,0.962687016,0.189365149,0.946448088,1.134575844,3.233076096,15482.19313,,,,,,,,
18,90,1.046379089,0.362410069,4.742282152,1.16580987,7.31688118,15537.28169,,,,,,,,
18,120,1.189828157,0.565966129,14.5030539,1.123310804,17.38215899,15662.22347,,,,,,,,
19,3,0.739698887,0.020277977,0.000478983,1.074375153,1.834830999,15211.69318,,,,,,,,
19,9,0.760710955,0.040316105,0.000832796,1.091724873,1.893584728,15205.26202,,,,,,,,
19,15,0.739934206,0.056942701,0.004715919,1.107529163,1.90912199,15208.21939,,,,,,,,
19,21,0.783905029,0.07474184,0.016344786,1.090719223,1.965710878,15240.86195,,,,,,,,
19,27,0.808531046,0.098453045,0.044647217,1.103758574,2.055389881,15285.18096,,,,,,,,
19,30,0.820610046,0.113373041,0.068674088,1.112992525,2.1156497,15290.12869,,,,,,,,
19,45,0.859520912,0.197265863,0.349611998,1.131277323,2.537676096,15313.45568,,,,,,,,
19,60,0.906729221,0.214702129,0.971745014,1.125115633,3.218291998,15354.28239,,,,,,,,
19,90,1.044527054,0.336565018,4.880109787,1.145944834,7.407146692,15398.86712,,,,,,,,
19,120,1.2594769,0.505914927,13.75352597,1.160216093,16.67913389,15449.70904,,,,,,,,
20,3,0.789554834,0.023528814,0.000499964,1.090592384,1.904175997,15264.77985,,,,,,,,
20,9,0.765986204,0.030333042,0.0007689,1.094385624,1.89147377,15303.15398,,,,,,,,
20,15,0.774543047,0.042960882,0.004679918,1.095900297,1.918084145,15316.64097,,,,,,,,
20,21,0.8007617,0.048971891,0.016083002,1.098430395,1.964246988,15331.38059,,,,,,,,
20,27,0.799932957,0.102811337,0.048477888,1.119632959,2.070855141,15356.68282,,,,,,,,
20,30,0.836322069,0.110614061,0.07003808,1.101629972,2.118604183,15375.69233,,,,,,,,
20,45,0.889214993,0.16535306,0.350974083,1.109331131,2.514873266,15416.43577,,,,,,,,
20,60,0.915174007,0.245090008,1.082476854,1.119398355,3.362139225,15484.84902,,,,,,,,
20,90,1.102774143,0.344475031,5.207988977,1.14373374,7.798971891,15522.90565,,,,,,,,
20,120,1.202130795,0.55273962,15.270262,1.160183668,18.18531609,15623.08655,,,,,,,,
