seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,
11,60,0.980892897,0.215162277,0.930841923,4.400375843,6.52727294,11702.00802,,7.328507948,11537.95943
12,60,0.94017005,0.227621078,0.881433725,6.117337227,8.16656208,12383.78054,,,
13,60,0.950487137,0.191674232,0.860919952,5.695475817,7.698557138,12662.69833,,,
14,60,0.955839872,0.227283955,0.976865053,7.009758949,9.169747829,11080.51888,,,
15,60,0.961161137,0.17334795,0.883580923,4.181152105,6.199242115,11407.79564,,,
16,60,0.937734127,0.192418098,0.860626936,4.50650382,6.497282982,12192.14785,,,
17,60,0.962641001,0.181605101,0.934865236,3.98859787,6.067709208,11111.44221,,,
18,60,0.947233915,0.181377172,0.894314051,5.333308935,7.356234074,11374.20316,,,
19,60,0.973023891,0.231583834,0.989346981,3.503757238,5.697711945,10490.77896,,,
20,60,0.958045959,0.152985096,0.909002781,7.884725332,9.904759169,10974.22068,,,
