seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,
11,60,0.938343287,0.172300816,0.934246063,5.520407915,7.56529808,11474.52984,,7.341176462,11325.6877
12,60,0.918200254,0.23800993,1.031501055,4.555224419,6.742935658,11347.82139,,,
13,60,0.925457954,0.174536943,0.976521254,5.948396921,8.024913073,11944.70016,,,
14,60,0.949180841,0.24931097,1.039657831,4.211453438,6.449603081,10637.97153,,,
15,60,0.940702915,0.216089964,0.966677427,5.00514555,7.128615856,11487.01878,,,
16,60,0.958760977,0.179703236,0.969107866,4.506378889,6.613950968,11883.12491,,,
17,60,0.972070932,0.23007369,1.030446053,5.095093489,7.327684164,11380.98274,,,
18,60,0.933829784,0.237416267,0.967574835,3.632563829,5.771384716,11162.43027,,,
19,60,0.928957939,0.251621008,0.922149897,8.43042016,10.533149,10851.40164,,,
20,60,0.974817038,0.17472887,0.989521027,5.115163088,7.254230022,11086.89571,,,
