seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,
11,60,0.968785048,0.201794147,0.85277009,1.924881697,3.948230982,14373.34149,,4.092742085,14171.53907
12,60,0.969891787,0.227151155,0.924710989,2.019912243,4.141666174,14190.72555,,,
13,60,0.950676918,0.142277718,0.847845078,2.08244133,4.023241043,14915.26901,,,
14,60,0.960916996,0.277853966,0.986324072,1.859215021,4.084310055,13258.53205,,,
15,60,1.00897789,0.22311902,0.891845942,2.004648209,4.128591061,14335.10064,,,
16,60,0.969414949,0.179152966,0.914364815,2.013792992,4.076725721,14872.04311,,,
17,60,1.01411891,0.301826,0.950790167,2.042216778,4.308951855,14279.13152,,,
18,60,1.001955986,0.215056181,0.918869734,2.014993191,4.150875092,13955.77939,,,
19,60,1.067553997,0.238616705,0.892702103,1.8835392,4.082412004,13602.63574,,,
20,60,0.943671942,0.160598993,0.891025305,1.987120628,3.982416868,13932.83221,,,
