seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,
11,60,0.970885277,0.187599897,0.958261967,14.72351384,16.84026098,11337.57592,,15.07675669,11225.32274
12,60,0.990605116,0.156955957,0.958372116,9.595003843,11.70093703,11535.14955,,,
13,60,0.997334957,0.22505188,1.085592985,17.76699018,20.07497001,11392.6201,,,
14,60,0.961406946,0.150309324,0.90713501,11.89561963,13.91447091,11136.00063,,,
15,60,0.981021166,0.221001387,1.023219109,12.92346525,15.14870691,11221.00952,,,
16,60,0.980087042,0.18550992,1.039294004,7.897806883,10.10269785,11490.10898,,,
17,60,0.97002697,0.197623014,0.999123096,13.66410899,15.83088207,10890.79034,,,
18,60,0.984372854,0.210806847,1.008496761,8.861538649,11.06521511,11358.27,,,
19,60,0.966019869,0.196709156,1.051842928,13.74605703,15.96062899,10912.59641,,,
20,60,0.924914837,0.244542837,0.98987484,17.96946454,20.12879705,10979.10596,,,
