seed,x_axle,Greedy Time,final_calculation_time,Total Running time,Route Cost,,,
11,60,37.93085694,0.006678104,37.93753505,11606.13957,,38.44100561,10953.95975
12,60,38.80212092,0.006621122,38.80874205,11686.1585,,,
13,60,38.47137833,0.006651878,38.4780302,11826.06902,,,
14,60,38.3961482,0.006590843,38.40273905,9532.111103,,,
15,60,38.40199471,0.006588221,38.40858293,11027.99429,,,
16,60,38.32881308,0.006705761,38.33551884,11554.18474,,,
17,60,38.40543413,0.006575823,38.41200995,10158.07426,,,
18,60,38.81002712,0.006695032,38.81672215,10822.33286,,,
19,60,38.46327209,0.006590843,38.46986294,10733.85731,,,
20,60,38.33365917,0.006653786,38.34031296,10592.67582,,,
