seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,
11,60,0.984879732,0.183473349,0.896348953,4.360493898,6.425195932,11702.0182,,7.247602725,11273.45141
12,60,0.935547113,0.223363161,0.828567028,3.910296679,5.897773981,11287.91724,,,
13,60,0.942800999,0.214730978,0.919339895,4.16334796,6.240219831,12423.87928,,,
14,60,0.948493242,0.196803808,1.045701981,5.8295331,8.020532131,9826.892741,,,
15,60,0.937518835,0.187225103,0.901098967,5.584784269,7.610627174,11561.20609,,,
16,60,0.920840025,0.279778719,1.190547943,6.861867189,9.253033876,12141.50243,,,
17,60,0.935809135,0.202260017,0.861047029,4.848138809,6.847254992,11375.76565,,,
18,60,0.963477135,0.209872007,0.883636951,6.71903801,8.776024103,11089.73172,,,
19,60,0.989323616,0.185246229,0.87061286,5.057754278,7.102936983,10300.70627,,,
20,60,0.923888922,0.206742048,1.010941982,4.160855293,6.302428246,11024.89452,,,
