seed,x_axle,Greedy Time,final_calculation_time,Total Running time,Route Cost,,,
11,60,43.62640119,0.007165194,43.63356638,11848.85728,,42.41832287,11348.86483
12,60,41.53149676,0.007192135,41.5386889,11870.86899,,,
13,60,40.77485681,0.00695014,40.78180695,11888.03731,,,
14,60,41.41757107,0.008431673,41.42600274,10979.48904,,,
15,60,42.94847894,0.007040024,42.95551896,11303.31294,,,
16,60,42.82234406,0.007095098,42.82943916,12200.08902,,,
17,60,41.92505193,0.007501125,41.93255305,10716.15752,,,
18,60,44.1094439,0.007128,44.1165719,11556.00362,,,
19,60,42.87759995,0.007132769,42.88473272,10659.66931,,,
20,60,42.07734513,0.007002831,42.08434796,10466.16325,,,
