seed,x_axle,Greedy Time,final_calculation_time,Total Running time,Route Cost,,,
11,60,40.42302108,0.006961823,40.4299829,11280.925,,40.52173011,11164.4463
12,60,40.48314595,0.006986856,40.49013281,11701.48534,,,
13,60,40.59547091,0.007020235,40.60249114,12030.44607,,,
14,60,40.492064,0.007046938,40.49911094,10877.28984,,,
15,60,40.65775013,0.007089853,40.66483998,10655.90769,,,
16,60,40.48773408,0.006953001,40.49468708,11369.5326,,,
17,60,40.44619894,0.007041216,40.45324016,11296.05333,,,
18,60,40.40857911,0.006800175,40.41537929,10968.89161,,,
19,60,40.56341887,0.007019043,40.57043791,10576.29155,,,
20,60,40.58994412,0.007054806,40.59699893,10887.64001,,,
