seed,x_axle,Greedy Time,final_calculation_time,Total Running time,Route Cost,,,,,,,
18,15,41.38247609,0.006762981,41.38923907,10193.67791,,,,,,,
18,21,41.24559593,0.007081032,41.25267696,10160.20772,,,,,,,
18,27,42.33487701,0.006912947,42.34178996,10140.79909,,,,,,,
18,30,41.88972402,0.007058859,41.89678288,10108.08517,,,,,,,
18,45,41.26832891,0.007483959,41.27581286,10086.16829,,,,,,,
18,60,40.89059496,0.007133961,40.89772892,10007.46082,,,,,,,
18,90,40.674649,0.007759094,40.68240809,9919.749256,,,,,,,
18,120,40.50771308,0.00801301,40.51572609,9849.651921,,,,,,,
19,3,42.23846507,0.009306908,42.24777198,10104.16521,,,,,,,
19,9,42.68929505,0.006922007,42.69621706,10132.91729,,,,,,,
19,15,42.14615607,0.008052826,42.1542089,10122.849,,,,,,,
19,21,41.53192973,0.007148027,41.53907776,10120.77583,,,,,,,
19,27,41.35048103,0.006646156,41.35712719,10113.8122,,,,,,,
19,30,41.41647983,0.006636143,41.42311597,10195.31342,,,,,,,
19,45,41.31327009,0.008604288,41.32187438,10093.85032,,,,,,,
19,60,41.49548101,0.007471323,41.50295234,10152.09852,,,,,,,
19,90,41.81292701,0.006729126,41.81965613,10104.07007,,,,,,,
19,120,41.25569081,0.006778002,41.26246881,10045.80195,,,,,,,
20,3,42.70190501,0.009447098,42.71135211,10119.77973,,,,,,,
20,9,41.90987086,0.00681591,41.91668677,10149.64403,,,,,,,
20,15,41.12397385,0.00679493,41.13076878,10158.51272,,,,,,,
20,21,41.01767302,0.00692606,41.02459908,10133.80231,,,,,,,
20,27,41.77912903,0.006901979,41.78603101,10130.83891,,,,,,,
20,30,41.10308409,0.007034779,41.11011887,10124.75921,,,,,,,
20,45,41.40823793,0.00871706,41.41695499,10080.37522,,,,,,,
20,60,40.60264397,0.007431984,40.61007595,9973.969898,,,,,,,
20,90,40.4253149,0.006898165,40.43221307,9897.959044,,,,,,,
20,120,40.32088995,0.006917953,40.3278079,9910.038496,,,,,,,
