seed,x_axle,Greedy Time,final_calculation_time,Total Running time,Route Cost,,,
11,60,40.70644999,0.00705409,40.71350408,11371.57654,,40.70279188,11244.41107
12,60,40.69460392,0.006979942,40.70158386,11541.6027,,,
13,60,40.76602387,0.006997108,40.77302098,11443.84544,,,
14,60,40.8499248,0.006999016,40.85692382,11143.98964,,,
15,60,40.78230405,0.007000685,40.78930473,11230.59308,,,
16,60,40.59337187,0.007034302,40.60040617,11452.32701,,,
17,60,40.71812701,0.006983042,40.72511005,10955.48762,,,
18,60,40.61245799,0.007006884,40.61946487,11357.13402,,,
19,60,40.58804417,0.007007837,40.595052,10940.0871,,,
20,60,40.64651918,0.007029057,40.65354824,11007.46751,,,
