seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,
11,60,0.972606897,0.205016136,1.079217911,3.796570301,6.053411245,11789.61224,,7.383739424,11629.99696
12,60,0.958755732,0.20935297,0.968093157,6.542866945,8.679068804,12451.96847,,,
13,60,0.917200804,0.204219103,0.993876934,5.483253002,7.598549843,12799.70413,,,
14,60,0.936133862,0.256902933,0.991407871,6.5886271,8.773071766,11171.42369,,,
15,60,0.928910971,0.198459864,0.972191095,4.074703217,6.174265146,11524.75208,,,
16,60,0.939012289,0.194252729,0.956563234,4.567492008,6.657320261,12290.23184,,,
17,60,0.939611197,0.188059807,0.944250822,4.43479538,6.506717205,11189.94731,,,
18,60,0.984481096,0.157323122,0.972150087,5.497561932,7.611516237,11475.21985,,,
19,60,0.981785059,0.224585056,1.041158915,3.647825718,5.895354748,10565.03629,,,
20,60,0.957844019,0.154475927,0.979331017,7.796468019,9.888118982,11042.07371,,,
