seed,x_axle,Greedy Time,final_calculation_time,Total Running time,Route Cost,,,
11,60,41.03108811,0.007181168,41.03826928,11197.54051,,42.35929227,11175.16688
12,60,41.09751296,0.006987095,41.10450006,11506.55775,,,
13,60,41.50189304,0.007019043,41.50891209,11691.07638,,,
14,60,41.61946917,0.007026911,41.62649608,10963.64172,,,
15,60,40.93496394,0.00709796,40.9420619,11018.66805,,,
16,60,40.67688799,0.007144928,40.68403292,11440.35929,,,
17,60,40.7947948,0.007050037,40.80184484,11090.79923,,,
18,60,44.87256861,0.007491112,44.88005972,11232.54437,,,
19,60,45.80168295,0.007093906,45.80877686,10705.40721,,,
20,60,45.19079208,0.007176876,45.19796896,10905.07432,,,
