seed,x_axle,Greedy Time,final_calculation_time,Total Running time,Route Cost
11,1000,0.4383220672607422,0.0006530284881591797,0.43897509574890137,1176.3843143712347
11,5000,9.526648044586182,0.003264188766479492,9.529912233352661,5980.966000458221
11,10000,38.477768898010254,0.006682157516479492,38.48445105552673,11907.567856259355
11,15000,94.30543828010559,0.01303863525390625,94.3184769153595,17753.13462533926
11,20000,165.1251997947693,0.013653039932250977,165.13885283470154,23656.03383284654
11,25000,245.84548687934875,0.016967058181762695,245.86245393753052,29577.116777653304
11,30000,359.0257890224457,0.020576953887939453,359.0463659763336,35424.750974402785
12,1000,0.4453568458557129,0.0006759166717529297,0.4460327625274658,1227.2917463620722
12,5000,9.517778158187866,0.003288745880126953,9.521066904067993,5961.645563165984
12,10000,38.851892948150635,0.006774187088012695,38.85866713523865,11870.424898402602
12,15000,85.70472812652588,0.010080099105834961,85.71480822563171,17780.861825444495
12,20000,154.4093840122223,0.013645172119140625,154.42302918434143,23730.305451481916
12,25000,239.96109795570374,0.017002105712890625,239.97810006141663,29562.150427200133
12,30000,347.72475814819336,0.02041792869567871,347.74517607688904,35437.96954560161
13,1000,0.39845895767211914,0.0006620883941650391,0.3991210460662842,1230.9869205551684
13,5000,9.462225198745728,0.0032918453216552734,9.465517044067383,6032.175278933592
13,10000,38.16206431388855,0.0067327022552490234,38.1687970161438,11978.294520536541
13,15000,85.84610486030579,0.010038137435913086,85.8561429977417,17812.935215094505
13,20000,154.3101770877838,0.013638973236083984,154.3238160610199,23653.248369215074
13,25000,239.33443307876587,0.017077922821044922,239.3515110015869,29561.940600545448
13,30000,349.4242720603943,0.020972013473510742,349.4452440738678,35475.443864549816
14,1000,0.39855003356933594,0.0006649494171142578,0.3992149829864502,1197.1582370441934
14,5000,9.489679098129272,0.003281831741333008,9.492960929870605,5941.759578853045
14,10000,38.125685930252075,0.006765127182006836,38.13245105743408,11804.429980471285
14,15000,85.51398301124573,0.009974002838134766,85.52395701408386,17714.60811158551
14,20000,153.9415078163147,0.013581991195678711,153.95508980751038,23588.1055878314
14,25000,240.1371030807495,0.016997814178466797,240.15410089492798,29513.99122039929
14,30000,346.4426760673523,0.020485877990722656,346.463161945343,35419.64671048155
15,1000,0.3989906311035156,0.0006673336029052734,0.3996579647064209,1215.9105726956086
15,5000,9.51471495628357,0.003287076950073242,9.518002033233643,5936.226868000739
15,10000,37.98637795448303,0.00797891616821289,37.994356870651245,11778.29150821657
15,15000,85.96664381027222,0.01006007194519043,85.97670388221741,17651.190752111786
15,20000,155.06280493736267,0.01379704475402832,155.0766019821167,23486.87489574139
15,25000,240.36596298217773,0.01674175262451172,240.38270473480225,29350.16390575988
15,30000,347.73663091659546,0.020666837692260742,347.7572977542877,35253.68040872494
16,1000,0.39943718910217285,0.0006639957427978516,0.4001011848449707,1240.5991389908104
16,5000,9.49009895324707,0.003280162811279297,9.49337911605835,6026.586857052152
16,10000,37.9066801071167,0.006720066070556641,37.913400173187256,11961.35416509087
16,15000,85.79704189300537,0.010038137435913086,85.80708003044128,17821.212187895406
16,20000,154.64458394050598,0.013609170913696289,154.65819311141968,23721.274261603976
16,25000,241.94262981414795,0.017004966735839844,241.9596347808838,29576.14400821496
16,30000,349.2333331108093,0.020760774612426758,349.25409388542175,35423.49835877163
17,1000,0.40102601051330566,0.0007102489471435547,0.4017362594604492,1205.4618891018529
17,5000,9.538802862167358,0.0032808780670166016,9.542083740234375,5996.488178864411
17,10000,38.199462890625,0.006776094436645508,38.206238985061646,11927.987789772727
17,15000,85.80640816688538,0.009970903396606445,85.81637907028198,17795.139169912094
17,20000,155.19306230545044,0.013648748397827148,155.20671105384827,23717.60149041658
17,25000,250.37314581871033,0.017930984497070312,250.3910768032074,29627.06175533373
17,30000,351.9176187515259,0.020882129669189453,351.93850088119507,35479.6143264414
18,1000,0.40248894691467285,0.0006639957427978516,0.4031529426574707,1236.6106418104707
18,5000,9.53926396369934,0.003284931182861328,9.542548894882202,6051.242574692253
18,10000,38.13974475860596,0.006780147552490234,38.14652490615845,12009.000345060442
18,15000,86.24489498138428,0.010097980499267578,86.25499296188354,17921.69439739203
18,20000,155.57106614112854,0.01373600959777832,155.58480215072632,23774.673327030105
18,25000,244.61116886138916,0.01686716079711914,244.62803602218628,29626.96701572019
18,30000,357.1579909324646,0.02113509178161621,357.1791260242462,35415.38794337734
19,1000,0.4076399803161621,0.0007059574127197266,0.40834593772888184,1214.5961201245573
19,5000,9.93213701248169,0.0032958984375,9.93543291091919,6021.50247777984
19,10000,38.382917165756226,0.006765842437744141,38.38968300819397,11916.679174870214
19,15000,87.7536940574646,0.010033845901489258,87.76372790336609,17764.832012684543
19,20000,157.67570304870605,0.014293909072875977,157.68999695777893,23613.16202207088
19,25000,244.9221601486206,0.022970914840698242,244.9451310634613,29437.81748894278
19,30000,351.53346705436707,0.020580291748046875,351.5540473461151,35334.29163890242
20,1000,0.402111291885376,0.0006759166717529297,0.4027872085571289,1232.2326123171958
20,5000,9.517843008041382,0.0032930374145507812,9.521136045455933,5969.811950505789
20,10000,38.22346210479736,0.006795644760131836,38.230257749557495,11919.033481801887
20,15000,86.6163980960846,0.01003718376159668,86.62643527984619,17779.424526494084
20,20000,155.5080268383026,0.013740062713623047,155.52176690101624,23710.420963683253
20,25000,246.35053992271423,0.016754865646362305,246.3672947883606,29548.197373029147
20,30000,349.4324080944061,0.02702784538269043,349.4594359397888,35362.61231912746
