seed,x_axle,Greedy Time,final_calculation_time,Total Running time,Route Cost,,,
11,60,41.50834703,0.008121967,41.516469,11277.11257,,41.57055194,11045.59165
12,60,42.02254891,0.008066893,42.03061581,12107.12841,,,
13,60,41.80942988,0.006978035,41.81640792,12780.31368,,,
14,60,43.61414313,0.006949902,43.62109303,10428.44465,,,
15,60,42.96827793,0.007249832,42.97552776,10142.317,,,
16,60,41.39983082,0.007012129,41.40684295,11202.02497,,,
17,60,40.50078321,0.006839037,40.50762224,11191.94979,,,
18,60,40.46301484,0.007012129,40.47002697,10778.38411,,,
19,60,40.59720421,0.006777763,40.60398197,9777.53481,,,
20,60,40.74990702,0.007024765,40.75693178,10770.70653,,,
