seed,x_axle,Greedy Time,final_calculation_time,Total Running time,Route Cost,,,,,,,,
14,120,39.36056304,0.006691933,39.36725497,6153.857494,,,,,,,,
15,3,40.75464487,0.007118225,40.7617631,10146.93066,,,,,,,,
15,9,40.30590677,0.006865025,40.3127718,10150.88365,,,,,,,,
15,15,39.90313601,0.007075071,39.91021109,10152.58095,,,,,,,,
15,21,39.78344488,0.006830215,39.7902751,10113.44944,,,,,,,,
15,27,39.65394688,0.006901026,39.6608479,10125.52008,,,,,,,,
15,30,39.9342382,0.006807804,39.941046,10105.49497,,,,,,,,
15,45,39.70711398,0.006887913,39.71400189,10063.58796,,,,,,,,
15,60,39.46670699,0.006801844,39.47350883,10031.89369,,,,,,,,
15,90,39.47069788,0.006793976,39.47749186,9965.77418,,,,,,,,
15,120,39.4725492,0.006594896,39.4791441,9912.854027,,,,,,,,
16,3,40.56398511,0.006932974,40.57091808,11942.82543,,,,,,,,
16,9,39.86247396,0.006888151,39.86936212,11949.18955,,,,,,,,
16,15,39.92625093,0.006938219,39.93318915,11957.14471,,,,,,,,
16,21,39.68202806,0.006871939,39.68889999,11939.11574,,,,,,,,
16,27,39.815027,0.006949186,39.82197618,11927.31951,,,,,,,,
16,30,39.68382215,0.006943941,39.6907661,11911.88169,,,,,,,,
16,45,39.56570292,0.006819963,39.57252288,11898.61656,,,,,,,,
16,60,39.66503596,0.006817818,39.67185378,11900.96886,,,,,,,,
16,90,39.41906381,0.006805897,39.4258697,11835.88328,,,,,,,,
16,120,39.44780111,0.006773949,39.45457506,11806.86003,,,,,,,,
17,3,40.86727595,0.00689888,40.87417483,8337.392939,,,,,,,,
17,9,40.03166795,0.006855011,40.03852296,8356.605286,,,,,,,,
17,15,40.09492207,0.007243872,40.10216594,8357.062031,,,,,,,,
17,21,40.22376895,0.006875992,40.23064494,8341.507464,,,,,,,,
17,27,40.38312221,0.006917953,40.39004016,8327.475733,,,,,,,,
17,30,39.95504904,0.006994009,39.96204305,8316.624981,,,,,,,,
17,45,40.20816112,0.007045031,40.21520615,8274.159996,,,,,,,,
17,60,40.04871917,0.006804943,40.05552411,8225.791759,,,,,,,,
17,90,39.82346797,0.008539915,39.83200788,8170.791133,,,,,,,,
17,120,39.65372205,0.006770849,39.6604929,8124.981226,,,,,,,,
18,3,41.03615189,0.007043123,41.04319501,9558.980847,,,,,,,,
18,9,40.25710392,0.00717473,40.26427865,9607.933821,,,,,,,,
18,15,40.38999104,0.006974936,40.39696598,9591.277468,,,,,,,,
18,21,40.20175982,0.006900311,40.20866013,9591.358216,,,,,,,,
18,27,40.31613898,0.0069561,40.32309508,9595.662173,,,,,,,,
18,30,39.99282193,0.006821156,39.99964309,9586.997216,,,,,,,,
18,45,40.05202007,0.006818056,40.05883813,9507.970902,,,,,,,,
18,60,40.04243016,0.006942034,40.0493722,9465.510035,,,,,,,,
18,90,39.6319139,0.006824255,39.63873816,9388.063627,,,,,,,,
18,120,39.72393823,0.006777048,39.73071527,9337.288563,,,,,,,,
19,3,41.04849982,0.006924152,41.05542397,9630.02375,,,,,,,,
19,9,40.54784393,0.006962776,40.55480671,9643.84232,,,,,,,,
19,15,40.34200311,0.006908178,40.34891129,9632.824548,,,,,,,,
19,21,40.20714808,0.006910086,40.21405816,9661.425099,,,,,,,,
19,27,40.08014894,0.006882906,40.08703184,9664.313007,,,,,,,,
19,30,40.04991364,0.00687623,40.05678988,9669.623205,,,,,,,,
19,45,39.91838288,0.006822109,39.92520499,9647.101549,,,,,,,,
19,60,40.05743289,0.006793976,40.06422687,9643.721829,,,,,,,,
19,90,39.9191761,0.006795883,39.92597198,9620.744904,,,,,,,,
19,120,40.02497625,0.006878853,40.03185511,9572.425193,,,,,,,,
20,3,41.29233813,0.007067919,41.29940605,9704.940175,,,,,,,,
20,9,40.36728406,0.007070065,40.37435412,9704.436519,,,,,,,,
20,15,40.17753291,0.006936073,40.18446898,9708.407545,,,,,,,,
20,21,40.10649586,0.006991148,40.11348701,9706.598336,,,,,,,,
20,27,39.89461803,0.006866932,39.90148497,9700.579723,,,,,,,,
20,30,40.16041613,0.006847858,40.16726398,9699.746863,,,,,,,,
20,45,40.23538995,0.00693202,40.24232197,9671.59899,,,,,,,,
20,60,40.06151795,0.006931067,40.06844902,9633.391965,,,,,,,,
20,90,39.83258295,0.00680685,39.8393898,9569.65836,,,,,,,,
20,120,39.72827911,0.006596088,39.7348752,9526.585143,,,,,,,,
