seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,
11,60,0.992225885,0.195724964,1.027602911,1.738162279,3.95371604,14859.92499,,3.99617908,14606.92987
12,60,1.019263029,0.184253931,0.983706951,1.76424098,3.951464891,15955.39782,,,
13,60,0.99042511,0.174613953,1.072354078,1.838646889,4.07604003,16671.12034,,,
14,60,0.967895031,0.188855886,1.02503109,1.729612827,3.911394835,13880.68933,,,
15,60,0.945089102,0.246460199,0.952194691,2.04184103,4.185585022,13631.99461,,,
16,60,1.046524286,0.271922827,1.087149143,1.858938932,4.264535189,14826.89256,,,
17,60,0.932056189,0.194726229,0.94865799,1.783976793,3.8594172,14758.15827,,,
18,60,0.942671776,0.156271219,0.970168114,1.770480633,3.839591742,14244.0312,,,
19,60,0.924370766,0.171230793,0.921070099,1.726074457,3.742746115,12917.34169,,,
20,60,1.158760786,0.269326687,0.983089924,1.766122341,4.177299738,14323.74791,,,
