seed,x_axle,Greedy Time,final_calculation_time,Total Running time,Route Cost,,,
11,60,40.83130693,0.006953001,40.83825994,11471.09066,,41.63195462,11071.13453
12,60,41.37221503,0.00705719,41.37927222,11065.46022,,,
13,60,41.27209806,0.006911039,41.2790091,12150.7741,,,
14,60,41.32153177,0.007877111,41.32940888,9679.014863,,,
15,60,41.49868011,0.006895781,41.5055759,11375.62761,,,
16,60,40.75487471,0.006814241,40.76168895,11925.52313,,,
17,60,41.9317801,0.006906033,41.93868613,11177.2695,,,
18,60,42.27440405,0.006877899,42.28128195,10899.31504,,,
19,60,42.95630503,0.007809877,42.9641149,10136.52077,,,
20,60,42.03506827,0.007179976,42.04224825,10830.74945,,,
