seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,
11,60,0.907917023,0.180404902,1.028162718,10.32749534,12.44397998,11817.70314,,17.1478368,11554.4195
12,60,0.922302961,0.253853798,1.025204897,19.91073012,22.11209178,12138.8122,,,
13,60,0.999013901,0.217587948,1.013839006,8.685655355,10.91609621,12067.14186,,,
14,60,0.943961143,0.194213867,1.007708073,14.28383565,16.42971873,11555.3955,,,
15,60,0.914372921,0.209464073,0.995687962,14.31883597,16.43836093,11537.11839,,,
16,60,0.954699993,0.250375032,1.029347181,20.81515789,23.0495801,11938.90738,,,
17,60,0.933341026,0.235978842,0.977618217,15.25488496,17.40182304,10886.73913,,,
18,60,0.950290918,0.217933178,0.969004154,15.76493597,17.90216422,11830.52004,,,
19,60,0.97712779,0.185754061,0.906138897,16.19302726,18.26204801,10813.09143,,,
20,60,0.953157902,0.160808802,0.940666914,14.46787143,16.52250504,10958.76594,,,
