seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,
11,60,0.974039078,0.246385813,1.079926014,4.907465458,7.207816362,12775.75339,,7.676560163,10808.82324
12,60,0.945886135,0.167854071,0.804172993,4.640654087,6.558567286,12499.29464,,,
13,60,0.948589087,0.137287855,0.775461197,9.233661652,11.09499979,12745.46332,,,
14,60,0.979059935,0.196267128,0.993657112,5.453017712,7.622001886,7250.55025,,,
15,60,0.925746202,0.183097839,0.890860081,3.705713987,5.70541811,10722.13595,,,
16,60,0.978086948,0.185776949,0.784772158,6.621213913,8.569849968,12307.16908,,,
17,60,0.969588995,0.245932817,1.117233276,4.840111017,7.172866106,9074.690542,,,
18,60,0.981628895,0.167701006,0.873095989,8.592739344,10.61516523,10136.16041,,,
19,60,1.069207191,0.261089087,0.864655972,3.934750795,6.129703045,10386.9471,,,
20,60,0.979353905,0.249699116,0.856887102,4.003273726,6.089213848,10190.06768,,,
