seed,x_axle,Greedy Time,final_calculation_time,Total Running time,Route Cost,,,
11,60,42.64977694,0.00722003,42.65699697,11822.17534,,41.40419893,11417.61673
12,60,41.60353804,0.007131815,41.61066985,11871.85265,,,
13,60,41.27906871,0.007079124,41.28614783,11891.16889,,,
14,60,41.67973709,0.007695675,41.68743277,11091.88494,,,
15,60,41.11240602,0.006866932,41.11927295,11368.75189,,,
16,60,40.32085419,0.007022858,40.32787704,12062.53104,,,
17,60,40.73720312,0.008278131,40.74548125,10955.96458,,,
18,60,41.72442603,0.008295774,41.73272181,11641.00223,,,
19,60,41.90398979,0.007018328,41.91100812,10835.50009,,,
20,60,40.95702195,0.007358789,40.96438074,10635.33559,,,
