seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,
11,60,1.051993132,0.211503029,0.910249949,4.214684725,6.388430834,11818.10144,,7.454011989,11149.91397
12,60,0.929591179,0.194377899,0.976407051,4.824277878,6.924654007,11933.14392,,,
13,60,0.971925259,0.173021317,0.895498991,5.442283392,7.482728958,12062.65741,,,
14,60,0.981863022,0.20660305,0.854675055,8.529422045,10.57256317,9584.407064,,,
15,60,0.945539713,0.223473072,0.930715799,4.188884258,6.288612843,11286.97788,,,
16,60,0.965313911,0.177288771,0.812567949,6.077058077,8.032228708,11770.94765,,,
17,60,0.988265991,0.200512171,0.887732983,5.659270048,7.735781193,10307.63675,,,
18,60,0.95826292,0.197005987,0.946998119,4.431944132,6.534211159,11020.32516,,,
19,60,0.947516918,0.243365049,0.916736841,6.105174303,8.212793112,10919.03683,,,
20,60,0.969312906,0.216662169,0.964493036,4.217647791,6.368115902,10795.9056,,,
