seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost
11,3,34.01185989379883,0.15764188766479492,0.0005490779876708984,2043.8170573711395,2077.987108230591,38.37145524884242
11,9,33.577057123184204,0.09985494613647461,0.0003001689910888672,1766.0737535953522,1799.750965833664,38.35414205743664
11,15,33.57515907287598,0.10515522956848145,0.0010528564453125,1734.7813007831573,1768.4626679420471,38.366599316418124
11,21,33.82528519630432,0.24672198295593262,0.002675771713256836,1704.5690903663635,1738.643773317337,38.373759167543454
11,27,34.169358015060425,0.26612186431884766,0.003554105758666992,792.9444670677185,827.3835010528564,39.247316117778055
11,30,34.59931397438049,0.2942159175872803,0.004864215850830078,770.4472796916962,805.3456737995148,39.26514339586165
11,45,35.334218978881836,0.7035970687866211,0.024731874465942383,542.9204080104828,578.9829559326172,39.696241107502395
11,60,35.872649908065796,0.7256860733032227,0.059530019760131836,486.3978440761566,523.0557100772858,39.848656324255174
11,90,37.87184524536133,0.9452600479125977,0.2707540988922119,301.8934347629547,340.98129415512085,40.66664525309252
11,120,40.27982521057129,1.4000201225280762,0.6208808422088623,303.5727379322052,345.8734641075134,40.67957318189159
