seed,x_axle,Greedy Time,final_calculation_time,Total Running time,Route Cost,,,
11,60,44.77716088,0.007221937,44.78438282,11214.59612,,43.02973456,11171.76463
12,60,42.61124086,0.00703907,42.61827993,11327.19802,,,
13,60,43.20429897,0.007124901,43.21142387,11443.11108,,,
14,60,42.94650197,0.006949902,42.95345187,11039.69296,,,
15,60,43.43343902,0.007006884,43.4404459,11087.13936,,,
16,60,43.18311501,0.006937027,43.19005203,11382.23524,,,
17,60,43.275172,0.007476091,43.28264809,11072.08831,,,
18,60,43.52635908,0.008637905,43.53499699,11141.11058,,,
19,60,42.0824368,0.007181168,42.08961797,11001.16312,,,
20,60,41.18500829,0.007037878,41.19204617,11009.31152,,,
