seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,
11,60,0.92899704,0.262948275,1.148244858,3.967153788,6.30734396,11577.33849,,7.606763458,11445.49895
12,60,0.937409163,0.191456795,0.970748186,4.875071049,6.974685192,11643.89025,,,
13,60,0.921950102,0.243937016,1.029164076,8.382972002,10.5780232,11619.81436,,,
14,60,0.928160191,0.235517979,1.085731983,5.254132032,7.503542185,11335.62069,,,
15,60,0.958288193,0.120598078,0.915787935,7.107247829,9.101922035,11309.1956,,,
16,60,0.963932037,0.213554144,1.015784025,5.262289047,7.455559254,11638.5958,,,
17,60,0.935474157,0.257335901,1.070202112,5.500648737,7.763660908,11329.14305,,,
18,60,0.914259195,0.225058079,1.01967907,3.409822702,5.568819046,11483.20822,,,
19,60,0.927829981,0.167175293,0.936848164,5.193403482,7.22525692,11292.92814,,,
20,60,0.989673853,0.169405937,0.938508749,5.491233349,7.588821888,11225.2549,,,
