seed,x_axle,Greedy Time,final_calculation_time,Total Running time,Route Cost,,,
11,60,40.62586308,0.006999016,40.63286209,11281.69433,,40.51319196,11233.65014
12,60,40.71131492,0.007143021,40.71845794,11399.56235,,,
13,60,40.6450429,0.007077932,40.65212083,11391.66026,,,
14,60,40.69259286,0.007109165,40.69970202,11146.3321,,,
15,60,40.635391,0.006958008,40.642349,11207.49149,,,
16,60,40.68866396,0.007046938,40.6957109,11390.59275,,,
17,60,40.320894,0.006999016,40.32789302,11025.77543,,,
18,60,40.15496016,0.006891727,40.16185188,11351.26871,,,
19,60,39.90171504,0.006851912,39.90856695,11093.91445,,,
20,60,40.68547106,0.006933928,40.69240499,11048.20952,,,
