seed,x_axle,Greedy Time,final_calculation_time,Total Running time,Route Cost,,,
11,60,40.53361917,0.007048845,40.54066801,11307.16148,,41.16170487,11157.32778
12,60,40.77992916,0.00703001,40.78695917,11571.29495,,,
13,60,40.64858603,0.006870985,40.65545702,11686.34432,,,
14,60,40.54873228,0.006989717,40.555722,11046.46891,,,
15,60,41.32210398,0.007099867,41.32920384,10763.17006,,,
16,60,40.74653196,0.007067919,40.75359988,11329.47759,,,
17,60,40.89402819,0.007099867,40.90112805,11242.56213,,,
18,60,40.85578895,0.006894112,40.86268306,10996.32074,,,
19,60,41.30264497,0.00729394,41.30993891,10670.02556,,,
20,60,43.91400409,0.007684708,43.9216888,10960.45203,,,
