seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,
11,60,0.955677986,0.229385853,0.903992176,4.192191839,6.281247854,11511.86268,,7.386183,11354.61476
12,60,0.963433027,0.243396044,0.966495991,4.892767906,7.066092968,11764.69686,,,
13,60,0.98347497,0.1976161,0.855415106,4.137711763,6.174217939,11921.34112,,,
14,60,0.951370955,0.233843088,0.951915979,5.182080984,7.319211006,11294.83095,,,
15,60,0.954726934,0.215176105,0.998028994,5.055975676,7.223907709,10938.52263,,,
16,60,0.968571186,0.196055889,0.989732027,7.242999792,9.397358894,11480.61688,,,
17,60,0.942320108,0.223878145,0.892257929,5.153130531,7.211586714,11432.24271,,,
18,60,0.946621895,0.191457033,0.918383121,5.076644897,7.133106947,11175.88645,,,
19,60,0.910141945,0.225717068,1.026000977,5.734736919,7.896596909,10854.80422,,,
20,60,0.967381954,0.269236326,1.025603056,5.896281719,8.158503056,11171.34313,,,
