seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,
11,60,0.949589968,0.214495897,1.068970203,1.762687922,3.99574399,14988.31425,,4.185460114,14427.43561
12,60,1.043179035,0.263900042,1.013983965,1.807476044,4.128539085,14697.30804,,,
13,60,0.976153135,0.14656496,0.949043036,1.826414824,3.898175955,16479.05673,,,
14,60,1.023375034,0.193819761,1.02380991,1.724574327,3.965579033,11831.45343,,,
15,60,1.054649115,0.227950811,0.989263058,1.839899778,4.111762762,14652.9294,,,
16,60,1.010524988,0.297661066,0.991565228,1.826122999,4.125874281,15892.22429,,,
17,60,1.481706142,0.419494152,1.030972958,1.897244692,4.829417944,14657.55426,,,
18,60,1.052606821,0.359342098,1.084494829,1.821328163,4.317771912,14139.02517,,,
19,60,1.107244968,0.251814127,1.021090984,1.849741936,4.229892015,12762.00541,,,
20,60,1.063561916,0.247483969,1.026670694,1.914127588,4.251844168,14174.48509,,,
