seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost
11,3,29.233504056930542,0.1387348175048828,0.0017461776733398438,49.01387906074524,78.387864112854,48.016164265458045
11,9,29.730475187301636,0.08649420738220215,0.0003581047058105469,49.23685646057129,79.05418395996094,47.98878336209782
11,15,29.28725576400757,0.0894310474395752,0.0010540485382080078,49.23121190071106,78.60895276069641,47.986477777318555
11,21,29.501399755477905,0.37902307510375977,0.003582000732421875,49.227988958358765,79.11199378967285,47.98617194231743
11,27,30.2382390499115,0.4188809394836426,0.005379915237426758,49.35750913619995,80.02000904083252,47.99070456481406
11,30,30.047631978988647,0.4682028293609619,0.0071048736572265625,49.35653233528137,79.87947201728821,47.98978442304058
11,45,30.680182933807373,0.5897037982940674,0.02518916130065918,49.441303968429565,80.73637986183167,47.991480028586125
11,60,31.454360008239746,0.4602208137512207,0.058175086975097656,49.53226017951965,81.50501608848572,47.99033368204405
11,90,33.280558824539185,1.1879081726074219,0.19266295433044434,49.688902378082275,84.35003232955933,47.97945431427899
11,120,34.37217569351196,1.6373469829559326,0.6309700012207031,49.91751408576965,86.55800676345825,47.9839505373342
11,150,36.711750984191895,3.1013691425323486,2.315967082977295,50.05940270423889,92.18848991394043,47.98846830576236
11,180,38.44852614402771,3.5469369888305664,4.111597061157227,49.83286094665527,95.93992114067078,47.98553163662539
