seed,x_axle,Greedy Time,final_calculation_time,Total Running time,Route Cost,,,
11,60,44.22451615,0.008674145,44.2331903,11494.98277,,42.87705483,11264.01165
12,60,42.76054215,0.007169724,42.76771188,11508.31473,,,
13,60,40.8855381,0.00713706,40.89267516,11483.57571,,,
14,60,41.91393828,0.006891966,41.92083025,11063.99595,,,
15,60,41.99261808,0.0070889,41.99970698,11209.14806,,,
16,60,41.66511202,0.008359909,41.67347193,11680.41685,,,
17,60,43.73905706,0.007964849,43.74702191,11033.44987,,,
18,60,42.66468787,0.007019997,42.67170787,11511.22399,,,
19,60,42.94104028,0.008566618,42.9496069,10901.56312,,,
20,60,45.90659404,0.00803113,45.91462517,10753.44548,,,
