seed,x_axle,Greedy Time,final_calculation_time,Total Running time,Route Cost,,,
11,60,40.64263082,0.006873131,40.64950395,11440.8817,,40.99592679,11334.08261
12,60,40.88887501,0.006864786,40.89573979,12182.8575,,,
13,60,41.26063204,0.006942987,41.26757503,12493.30063,,,
14,60,41.03273511,0.009575844,41.04231095,10916.52776,,,
15,60,41.04517388,0.007036209,41.05221009,11181.06063,,,
16,60,41.19362307,0.007032156,41.20065522,11950.92001,,,
17,60,40.93642688,0.007014036,40.94344091,10862.225,,,
18,60,40.68923306,0.006827831,40.6960609,11225.56913,,,
19,60,40.9512682,0.007051945,40.95832014,10233.12675,,,
20,60,41.2465179,0.006932974,41.25345087,10854.35696,,,
