seed,x_axle,Greedy Time,final_calculation_time,Total Running time,Route Cost,,,
11,60,41.14517188,0.006891966,41.15206385,11287.4822,,40.9933507,11220.84096
12,60,41.0666852,0.007078886,41.07376409,11641.90477,,,
13,60,40.89816499,0.006869078,40.90503407,11860.00801,,,
14,60,40.61303902,0.007102013,40.62014103,10973.10011,,,
15,60,40.68070579,0.007061958,40.68776774,11116.77585,,,
16,60,40.65033698,0.007050037,40.65738702,11633.1705,,,
17,60,41.09497404,0.007050991,41.10202503,11001.54605,,,
18,60,40.95603395,0.007153988,40.96318793,11187.71725,,,
19,60,41.11740327,0.007081985,41.12448525,10628.14646,,,
20,60,41.64060807,0.007042885,41.64765096,10878.55836,,,
