seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,
11,60,1.0163939,0.208389282,0.874251842,2.077401876,4.176436901,14459.40591,,4.158659315,14344.55727
12,60,1.048042059,0.131726027,0.850236177,2.117565632,4.147569895,14457.25263,,,
13,60,0.964227915,0.213271141,0.915831089,2.070375681,4.163705826,14505.02591,,,
14,60,0.969064951,0.234860897,0.898215055,2.023555994,4.125696898,14230.62536,,,
15,60,0.95887804,0.19760108,0.976131916,2.02846384,4.161074877,14276.80631,,,
16,60,0.965436935,0.246812105,0.886665821,2.068636179,4.167551041,14601.70448,,,
17,60,0.983561993,0.182563066,0.842619181,2.016468525,4.025212765,14134.89172,,,
18,60,0.987219095,0.227665186,1.013879776,2.079395056,4.308159113,14528.26757,,,
19,60,0.959981203,0.207970142,0.891704082,1.97437644,4.034031868,14020.10294,,,
20,60,0.94553709,0.253639221,1.03688693,2.041090727,4.277153969,14231.48986,,,
