seed,x_axle,Greedy Time,final_calculation_time,Total Running time,Route Cost,,,
11,60,41.294384,0.006966114,41.30135012,11219.98279,,42.40804076,11197.13712
12,60,42.03609228,0.007062912,42.04315519,11287.28039,,,
13,60,42.01912308,0.007069826,42.0261929,11360.68621,,,
14,60,40.89881492,0.00698185,40.90579677,11107.66928,,,
15,60,41.33887124,0.007051945,41.34592319,11159.88752,,,
16,60,42.71334076,0.008475304,42.72181606,11447.26612,,,
17,60,42.7390089,0.006995201,42.7460041,11117.77987,,,
18,60,44.74879813,0.008298874,44.75709701,11298.52455,,,
19,60,43.98050094,0.006941319,43.98744226,11067.39196,,,
20,60,42.23681283,0.008817196,42.24563003,10904.90248,,,
