seed,x_axle,Tree Construction Time,PD Initialization Time,PD Solve Time,Route time,Total Time,Route Cost,,,
11,60,0.966197968,0.20443511,0.994330883,9.731858015,11.89682198,11534.05278,,16.52312829,11321.98644
12,60,0.979993105,0.164287329,1.010360718,18.26346993,20.41811109,11560.99932,,,
13,60,0.970845222,0.241475821,1.039622307,17.91306448,20.16500783,11474.83994,,,
14,60,0.941966057,0.192076921,0.941531897,15.48811889,17.56369376,11243.47172,,,
15,60,0.944089651,0.221807003,0.970852852,18.63180447,20.76855397,11292.25946,,,
16,60,0.950810194,0.20955801,1.040636063,16.63532591,18.83633018,11579.23697,,,
17,60,0.942424059,0.178761005,0.97368598,5.536462069,7.631333113,11128.93683,,,
18,60,0.965531111,0.176141024,0.94568491,11.07390618,13.16126323,11646.83248,,,
19,60,0.962355375,0.22340703,1.102045774,9.321572542,11.60938072,10912.23188,,,
20,60,0.952719927,0.179519892,0.95955205,21.08899522,23.18078709,10847.00304,,,
